Epoch,Train_Acc,Test_Acc,Average_CE_Loss,Average_LB_Loss,Average_Entropy,Runtime,Memory
0,67.49666666666667,67.47,0.9625065199601879,0.002937850413291947,1.3472391547424707,43.813,84.6
1,79.44166666666666,78.13,0.6716693154276053,0.0013012305251570908,1.3148849259561568,47.046,82.4
2,81.97333333333333,80.88,0.5721701680978478,0.0004142759832492007,1.312286442022588,46.207,81.8
3,82.62333333333333,81.13,0.5203991790315998,0.00019575150282398216,1.3077229904467618,44.335,82.2
4,83.80333333333333,81.8,0.4865464330482076,0.00029143357454840816,1.2963336220682302,44.365,83.7
5,84.655,83.06,0.4653604666053105,0.0003500539166078385,1.2679710144173109,44.649,84.1
